bin1	bin2	affected allele	affected bin	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr2L:10875000-10877500	chr2L:10882500-10885000	DGRP-57	chr2L:10882500-10885000	92.20197191615789	-5.297532675401107	0.5390826672711497	-9.826939349056339	8.619867982857773e-23	7.292711605148925e-19
chr2L:11562500-11565000	chr2L:11567500-11570000	DGRP-57	chr2L:11567500-11570000	10.378206587739825	-6.625061215495408	1.5602251708926	-4.246221211586549	2.1740599398195214e-05	0.010828855742959262
chr2L:11620000-11622500	chr2L:11625000-11627500	DGRP-57	chr2L:11625000-11627500	16.060058223542004	-2.810611604387819	0.7280420789015033	-3.860507085838463	0.00011315195922422432	0.02904184884225837
chr2L:11625000-11627500	chr2L:11630000-11632500	DGRP-57	chr2L:11630000-11632500	18.063645685000935	-2.2462268985225253	0.6202928363557725	-3.6212362401589773	0.0002931986279068899	0.045744737583083526
chr2L:11660000-11662500	chr2L:11665000-11667500	DGRP-57	chr2L:11665000-11667500	7.568994790268376	-6.1696200810373165	1.6120101560529099	-3.8272836296167947	0.00012956518971718881	0.031003541605909617
chr2L:1220000-1222500	chr2L:1227500-1230000	DGRP-57	chr2L:1227500-1230000	9.295674833009276	-6.466185454398344	1.5728931852409245	-4.1110137135014035	3.939258007133579e-05	0.015802791464158278
chr2L:12557500-12560000	chr2L:12565000-12567500	DGRP-57	chr2L:12565000-12567500	218.63469535830558	-9.577389709292076	1.4438516213509298	-6.633222948720352	3.2843514433925746e-11	6.639316442818089e-08
chr2L:12932500-12935000	chr2L:12940000-12942500	DGRP-57	chr2L:12940000-12942500	90.28624876115943	-7.294088423662915	1.0345254646117292	-7.050661074254446	1.7806974813821256e-12	4.785456886157392e-09
chr2L:13447500-13450000	chr2L:13455000-13457500	DGRP-57	chr2L:13455000-13457500	41.79969583457971	-7.182284879214916	1.4675924837999434	-4.893923182693253	9.884543371058582e-07	0.0009031685199916904
chr2L:1362500-1365000	chr2L:1365000-1367500	DGRP-57	chr2L:1365000-1367500	14.034708043152628	-2.845986289990299	0.7748630563451915	-3.672889379207219	0.00023982331917891088	0.041066507412577974
chr2L:14640000-14642500	chr2L:14650000-14652500	DGRP-57	chr2L:14650000-14652500	85.95263575463021	-7.222851545915129	1.0356869094022811	-6.973972037634041	3.0811534957898204e-12	7.97675315172223e-09
chr2L:14642500-14645000	chr2L:14650000-14652500	DGRP-57	chr2L:14650000-14652500	80.20435668358421	-9.57521707711287	1.4546614430429745	-6.5824368432304645	4.6279941716855856e-11	9.074423988335213e-08
chr2L:14982500-14985000	chr2L:14990000-14992500	DGRP-57	chr2L:14990000-14992500	26.445199903096842	-6.5159893057077	1.484416974370736	-4.389594984569557	1.1356196809992573e-05	0.0068445655915783605
chr2L:15607500-15610000	chr2L:15610000-15612500	DGRP-57	chr2L:15610000-15612500	30.078798974759824	-1.918409101872499	0.4594084785141069	-4.175824329749698	2.969088899522207e-05	0.013483647967662188
chr2L:15610000-15612500	chr2L:15612500-15615000	DGRP-57	chr2L:15612500-15615000	58.256988854904336	-3.7613519138586557	0.44620219422582025	-8.429702862364362	3.46544028474523e-17	1.666544824261496e-13
chr2L:15825000-15827500	chr2L:15827500-15830000	DGRP-57	chr2L:15827500-15830000	95.46683097539608	-7.375257304738358	1.0336334065038943	-7.135273742442235	9.659472769424788e-13	2.6745557999797815e-09
chr2L:16140000-16142500	chr2L:16145000-16147500	DGRP-57	chr2L:16145000-16147500	73.71587961123589	-9.453528237209317	1.455773233056063	-6.493819245023345	8.368714987988952e-11	1.5416624035071148e-07
chr2L:16510000-16512500	chr2L:16517500-16520000	DGRP-57	chr2L:16517500-16520000	18.290877822643417	-4.954342415275648	1.1171548380156282	-4.434785802902588	9.216387759234696e-06	0.005888936636777907
chr2L:17142500-17145000	chr2L:17150000-17152500	DGRP-57	chr2L:17150000-17152500	105.28082669393359	-9.967708713819812	1.4512374068773743	-6.8684204710980525	6.491664626490547e-12	1.5446746924967944e-08
chr2L:17272500-17275000	chr2L:17277500-17280000	DGRP-57	chr2L:17277500-17280000	74.64470789837135	-6.006486287742095	0.7467465085027759	-8.043541174079378	8.727886310135119e-16	3.5601905462160897e-12
chr2L:1767500-1770000	chr2L:1815000-1817500	DGRP-57	chr2L:1815000-1817500	15.4089379603176	-2.74406008653266	0.7307258407640529	-3.7552525632095457	0.00017316676629033247	0.03532324534345086
chr2L:1775000-1777500	chr2L:1805000-1807500	DGRP-57	chr2L:1805000-1807500	30.264566285814055	-8.169186051074453	1.480466058174945	-5.517982669015104	3.4291324040430236e-08	4.112044064729719e-05
chr2L:1775000-1777500	chr2L:1807500-1810000	DGRP-57	chr2L:1807500-1810000	46.0366339703087	-8.774404626488948	1.4667913377966966	-5.982040117355204	2.203599785130477e-09	3.258040110792636e-06
chr2L:1777500-1780000	chr2L:1797500-1800000	DGRP-57	chr2L:1797500-1800000	54.32533549840491	-5.539563286596283	0.758319818760405	-7.305048805992681	2.771661185567175e-13	8.441722383846893e-10
chr2L:1780000-1782500	chr2L:1795000-1797500	DGRP-57	chr2L:1795000-1797500	12.102025800381947	-3.71243469540221	0.9942080158988806	-3.7340623250213225	0.00018841583567810939	0.03750739445405899
